	id	output	mode	rating
156	A23-A3S-20	no problem . also , i noticed that you nominated [ bingolotto ( norway ) separately . btw , would you like to make this a double hook ?	ilp	3
235	A23-A2U-13	i write in spanish . you can see the fritjof capra book the weft of live .	greedy	2
75	616521646.0.0	aren ' t you idiots for deleting faydee ? isn ' t on every disco club all over the world with " can ' t let go " .	greedy	1
292	A23-A1F-89	but  i see you might not really fit in well . d	retrieval	4
169	A23-A3S-76	sodacan , would you mind vectorizing the images below ? it would be great for you . thanks .	ilp	5
210	A23-A2U-78	yes , why not use a redirect ? please should have checked before commenting ,	greedy	5
59	846513598.15186.13399	can you please stop your whining , and think about solutions instead ? tx .	greedy	5
186	A2U-A3S-46	by the way , would it be for you to consider reviewing my gan of " cliche ( hush hush ) ( song ) " ? best ,	ilp	3
188	A1F-A2U-18	hey guys , can you just read wikipedia for you : signatures # transclusion of templates ?	ilp	1
76	495773626.1112.1094	why is this linked to the pla ' s vehicles section ? surely	greedy	2
221	A1F-AYG-48	are you aware of the above wikiproject ? and if so , are you a member ? if not , join !	greedy	5
256	A23-A3S-20	also , i noticed that you nominated [ [ bingolotto ( norway ) separately . would you like to make this a double hook ?	retrieval	2
72	156935122.798.0	what is a graham cracker ? ? ( 16 january 2007 )	greedy	5
209	AYG-A2U-91	no problem . matty , can you protect victor moses for you . . another link to liverpool causing vandalism . john	greedy	2
276	A23-A2U-3	oh , did i revert you by accident ? and i ' ll fix that right away .	retrieval	5
73	616642348.18079.18061	hi surtsicna , will you be willing to sign up to wp : wikiproject channel islands ? thanks , .	greedy	4
250	A23-A1F-7	sorry , could you give me the link of the rfc . i fear i have missed it !	retrieval	5
232	A3S-A23-23	lehrkind mansionsee . if this pans out , can you snap a free photo for us ?	greedy	5
224	A2U-A1F-2	hello , then will you make some contributions in some of your many areas of expertise ? btw	greedy	4
163	A1F-AYG-51	please , can someone explain why there ' s just a coi tag on this article ? it ' s not really obvious from the talk page .	ilp	5
281	AYG-A2U-99	could you make an account on test you your steward access can be set . thank you .	retrieval	1
18	27309085.35258.35250	jdavidb , if you have a chance would you mind taking a look at this : wp : an / 3rr # user : fuelwagons . thanks .	ilp	5
17	468934575.1618.42708	68 . . . who are you ? , . . . or all of the above ? or perhaps ?	ilp	3
